URL: https://www.kellytarltons.co.nz/auckland/tickets-passes/experiences/vr-experience/, Size: 179196 bytes, Status: 200, Depth: 7, Time: 2024-09-23 15:05:16
URL: https://www.kellytarltons.co.nz/auckland/tickets-passes/other-tickets/group-admission/, Size: 179196 bytes, Status: 200, Depth: 7, Time: 2024-09-23 15:05:18
URL: https://www.kellytarltons.co.nz/auckland/events/kids-birthday-parties/, Size: 179196 bytes, Status: 200, Depth: 7, Time: 2024-09-23 15:05:18
URL: https://www.kellytarltons.co.nz/auckland/tickets-passes/other-tickets/gift-vouchers/, Size: 179196 bytes, Status: 200, Depth: 8, Time: 2024-09-23 15:05:21
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/, Size: 179196 bytes, Status: 200, Depth: 8, Time: 2024-09-23 15:05:25
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/animals/, Size: 179196 bytes, Status: 200, Depth: 8, Time: 2024-09-23 15:05:25
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/animals/king-gentoo-penguins/, Size: 179196 bytes, Status: 200, Depth: 9, Time: 2024-09-23 15:05:27
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/animals/turtles/, Size: 179196 bytes, Status: 200, Depth: 9, Time: 2024-09-23 15:05:29
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/animals/sharks/, Size: 179196 bytes, Status: 200, Depth: 9, Time: 2024-09-23 15:05:31
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/animals/colourful-fish-species/, Size: 179196 bytes, Status: 200, Depth: 10, Time: 2024-09-23 15:05:33
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/animals/stingrays/, Size: 179196 bytes, Status: 200, Depth: 10, Time: 2024-09-23 15:05:36
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/exhibits/sea-cave-adventure/, Size: 179196 bytes, Status: 200, Depth: 11, Time: 2024-09-23 15:05:36
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/exhibits/, Size: 179196 bytes, Status: 200, Depth: 10, Time: 2024-09-23 15:05:36
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/exhibits/turtle-bay-turtle-rescue/, Size: 179196 bytes, Status: 200, Depth: 11, Time: 2024-09-23 15:05:41
URL: https://www.kellytarltons.co.nz/auckland/whats-inside/exhibits/shipwreck-discovery/, Size: 179196 bytes, Status: 200, Depth: 11, Time: 2024-09-23 15:05:43
